"town","year","call_reason","self","disp","avg_hours_per_call","totalCalls","totalHours"
"Wendell",2022-01-01,"OFFICER WANTED",1,15,1.19466666666667,16,19.1146666666667
"Wendell",2022-01-01,"PAPERWORK SERVICE",20,1,0.375,21,7.875
"Wendell",2022-01-01,"PATROL AREA",34,0,0.686666666666667,34,23.3466666666667
"Wendell",2022-01-01,"RADAR/TRAFFIC ENFORCEMENT",59,1,0.606166666666667,60,36.37
"Wendell",2022-01-01,"RESCUE CALL",0,1,1.60366666666667,1,1.60366666666667
"Wendell",2022-01-01,"SAFETY HAZARD",0,5,0.684166666666667,5,3.42083333333333
"Wendell",2022-01-01,"SEARCH",0,1,0.174,1,0.174
"Wendell",2022-01-01,"Section 12",0,1,0.244,1,0.244
"Wendell",2022-01-01,"SERVICE CALL",0,2,0.5785,2,1.157
"Wendell",2022-01-01,"SMOKE INVESTIGATION",0,1,0.419666666666667,1,0.419666666666667
"Wendell",2022-01-01,"SOLICITING",0,1,0.0291666666666667,1,0.0291666666666667
"Wendell",2022-01-01,"SUMMONS SERVICE",0,1,0.392166666666667,1,0.392166666666667
"Wendell",2022-01-01,"SUSPICIOUS PERSON",0,2,0.460833333333333,2,0.921666666666667
"Wendell",2022-01-01,"SUSPICIOUS PACKAGE",1,0,0,1,0
"Wendell",2022-01-01,"SUSPICIOUS ACTIVITY",0,6,0.508666666666667,6,3.052
"Wendell",2022-01-01,"SUICIDE THREAT",0,2,2.0105,2,4.021
"Wendell",2022-01-01,"SUSPICIOUS VEHICLE",5,3,0.413333333333333,8,3.30666666666667
"Wendell",2022-01-01,"TRAFFIC HAZARD",5,10,0.455,15,6.825
"Wendell",2022-01-01,"TRAFFIC CONTROL",1,0,0.938,1,0.938
"Wendell",2022-01-01,"TRESPASS",0,2,0.348166666666667,2,0.696333333333333
"Wendell",2022-01-01,"UNWANTED PERSON",0,1,1.785,1,1.785
"Wendell",2022-01-01,"SERVE WARRANT",2,1,0.709833333333333,3,2.1295
