"","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths","Estimated number of malaria deaths"
"Burkina Faso","19 979 [ 14 300- 29 100]","18 813 [ 14 400- 25 100]","19 064 [ 15 000- 24 700]","19 292 [ 15 500- 24 400]","19 443 [ 16 100- 23 900]","20 471 [ 17 200- 24 500]","22 278 [ 19 100- 26 100]","25 694 [ 22 400- 29 400]","30 247 [ 26 800- 34 000]","33 208 [ 29 800- 36 800]","35 034 [ 31 800- 38 500]","36 176 [ 33 100- 39 400]","33 805 [ 31 100- 36 600]","31 272 [ 28 900- 33 800]","30 542 [ 28 300- 32 900]","31 546 [ 29 300- 34 000]","34 556 [ 32 100- 37 100]","38 366 [ 35 800- 41 200]","40 688 [ 38 000- 43 600]","41 824 [ 39 200- 44 700]","41 277 [ 38 700- 44 000]"
"Burundi","5 822 [ 4 730- 7 700]","5 284 [ 4 560- 6 370]","5 237 [ 4 550- 6 220]","5 974 [ 5 120- 7 170]","5 582 [ 4 880- 6 540]","4 867 [ 4 380- 5 520]","4 630 [ 4 220- 5 150]","4 535 [ 4 190- 4 970]","4 664 [ 4 330- 5 070]","4 773 [ 4 450- 5 160]","5 051 [ 4 710- 5 440]","5 188 [ 4 840- 5 580]","5 253 [ 4 920- 5 640]","5 271 [ 4 930- 5 650]","5 506 [ 5 150- 5 910]","5 970 [ 5 580- 6 420]","6 988 [ 6 500- 7 560]","8 294 [ 7 680- 8 990]","9 397 [ 8 710- 10 200]","11 335 [ 10 500- 12 300]","12 288 [ 11 400- 13 300]"
"Cabo Verde","0","0","0","2","1","0","1","0","0","1","1","2","2","2","8","2","4","4","2","0","0"
"Cambodia","43 [ 10- 71]","102 [ 22- 170]","265 [ 43- 440]","336 [ 27- 570]","204 [ 16- 340]","374 [ 28- 630]","399 [ 31- 670]","231 [ 24- 380]","383 [ 36- 640]","641 [ 47- 1 080]","644 [ 44- 1 120]","853 [ 50- 1 560]","497 [ 21- 960]","394 [ 21- 780]","897 [ 50- 1 680]","705 [ 48- 1 210]","895 [ 44- 1 590]","1 062 [ 48- 1 940]","803 [ 34- 1 520]","904 [ 38- 1 730]","1 582 [ 61- 3 270]"
"Cameroon","14 841 [ 12 300- 18 200]","12 683 [ 11 200- 14 400]","12 770 [ 11 400- 14 300]","13 633 [ 12 300- 15 100]","13 699 [ 12 500- 15 000]","13 171 [ 12 200- 14 300]","12 725 [ 11 800- 13 700]","12 467 [ 11 600- 13 400]","12 327 [ 11 500- 13 200]","12 280 [ 11 500- 13 200]","13 328 [ 12 500- 14 300]","14 457 [ 13 500- 15 500]","15 930 [ 14 900- 17 100]","18 138 [ 16 900- 19 500]","19 887 [ 18 600- 21 400]","20 137 [ 18 800- 21 600]","19 432 [ 18 200- 20 800]","18 374 [ 17 200- 19 600]","17 775 [ 16 700- 18 900]","17 459 [ 16 400- 18 600]","17 144 [ 16 100- 18 300]"
"Canada","No malaria","","","","","","","","","","","","","","","","","","","",""
"Central African Republic","5 079 [ 2 940- 9 360]","4 452 [ 2 860- 7 280]","4 553 [ 3 010- 7 220]","4 788 [ 3 230- 7 400]","5 172 [ 3 570- 7 760]","5 555 [ 3 930- 8 150]","5 995 [ 4 350- 8 530]","6 361 [ 4 720- 8 800]","6 770 [ 5 150- 9 130]","7 045 [ 5 520- 9 260]","7 803 [ 6 240- 9 990]","8 528 [ 6 980- 10 700]","9 105 [ 7 610- 11 100]","9 837 [ 8 360- 11 800]","9 918 [ 8 530- 11 700]","9 530 [ 8 300- 11 000]","9 087 [ 8 000- 10 400]","8 393 [ 7 460- 9 490]","7 872 [ 7 040- 8 830]","7 593 [ 6 820- 8 470]","7 379 [ 6 640- 8 190]"
"Chad","12 415 [ 9 340- 16 600]","11 619 [ 9 650- 14 300]","11 509 [ 9 760- 13 800]","11 673 [ 10 000- 13 700]","11 437 [ 9 990- 13 100]","11 163 [ 9 890- 12 600]","11 126 [ 9 950- 12 400]","11 158 [ 10 100- 12 400]","11 321 [ 10 300- 12 400]","11 550 [ 10 600- 12 600]","11 829 [ 10 900- 12 900]","11 455 [ 10 600- 12 400]","10 911 [ 10 200- 11 800]","10 485 [ 9 800- 11 300]","10 030 [ 9 400- 10 800]","9 464 [ 8 880- 10 100]","9 005 [ 8 460- 9 610]","8 926 [ 8 400- 9 520]","8 665 [ 8 170- 9 220]","9 111 [ 8 590- 9 710]","8 459 [ 7 980- 9 010]"
"Chile","No malaria","","","","","","","","","","","","","","","","","","","",""
"China","No malaria","0","0","0","0","0","0","0","0","33","19","10","23","18","37","48","31","52","42","27","31"
"Colombia","5","3","9","19","36","18","17","10","24","23","42","28","54","68","77","87","126","118","162","168","124"
