IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
CC_1,Climate change attributable deaths,numeric,GLOBAL,(WHO) Global,WHO region,WHO_LMI_HIC,High income countries,Year,2004,true,,,,,,,,,,,,,0.23,,,,,,0.23,,,EN,2013-06-11T04:00:00.000Z
CC_1,Climate change attributable deaths,numeric,GLOBAL,(WHO) Global,WHO region,WHO_LMI_EUR,Low-and-middle-income countries of the European Region,Year,2004,true,,,,,,,,,,,,,0.67,,,,,,0.67,,,EN,2013-06-11T04:00:00.000Z
CC_1,Climate change attributable deaths,numeric,GLOBAL,(WHO) Global,WHO region,WHO_LMI_AMR,Low-and-middle-income countries of the Americas,Year,2004,true,,,,,,,,,,,,,1.75,,,,,,1.75,,,EN,2013-06-11T04:00:00.000Z
CC_1,Climate change attributable deaths,numeric,GLOBAL,(WHO) Global,WHO region,WHO_LMI_WORLD,Global,Year,2004,true,,,,,,,,,,,,,141.3,,,,,,141.3,,,EN,2013-06-11T04:00:00.000Z
CC_1,Climate change attributable deaths,numeric,GLOBAL,(WHO) Global,WHO region,WHO_LMI_EMR,Low-and-middle-income countries of the Eastern Mediterranean Region,Year,2004,true,,,,,,,,,,,,,19.91,,,,,,19.91,,,EN,2013-06-11T04:00:00.000Z
CC_1,Climate change attributable deaths,numeric,GLOBAL,(WHO) Global,WHO region,WHO_LMI_WPR,Low-and-middle-income countries of the Western Pacific Region,Year,2004,true,,,,,,,,,,,,,4.1,,,,,,4.1,,,EN,2013-06-11T04:00:00.000Z
CC_1,Climate change attributable deaths,numeric,GLOBAL,(WHO) Global,WHO region,WHO_LMI_AFR,Low-and-middle-income countries of the African Region,Year,2004,true,,,,,,,,,,,,,56.64,,,,,,56.64,,,EN,2013-06-11T04:00:00.000Z
CC_1,Climate change attributable deaths,numeric,GLOBAL,(WHO) Global,WHO region,WHO_LMI_SEAR,Low-and-middle-income countries of the South-East Asia Region,Year,2004,true,,,,,,,,,,,,,57.98,,,,,,57.98,,,EN,2013-06-11T04:00:00.000Z
